Product Name,Price,Weight,Price per kg
Asās paprikas pulveris,2.35,50g,47.00
Asās paprikas pulveris,10.45,500g,20.89
Asās paprikas pulveris,18.49,1 kg,18.48
Tomātu granulas (kaltētas),3.27,50g paciņa,65.39
Tomātu granulas (kaltētas),41.02,1kg,41.02
Veģetārais,2.18,50 g,43.60
Veģetārais,5.93,100 g burciņā,59.29
Veģetārais,13.67,500 g,27.33
Veģetārais,26.50,1 kg,26.50
Sečuanas pipari,1.91,10g paciņa,191.00
Sečuanas pipari,3.00,20g burciņā,150.00
Sečuanas pipari,11.91,100 g,119.09
Sečuanas pipari,70.00,1 kg,70.00
Sīpolu granulas 1mm,2.37,50 g,47.39
Sīpolu granulas 1mm,11.83,500 g,23.66
Sīpolu granulas 1mm,21.03,1 kg,21.03
Badiāns jeb anīss,3.78,30 g,126.00
Badiāns jeb anīss,10.24,30g burciņā,341.33
Badiāns jeb anīss,47.38,500 g,94.76
Badiāns jeb anīss,92.52,1 kg,92.51
Jūras sāls (smalka <1mm),2.40,240 g burciņa,10.00
Jūras sāls (smalka <1mm),2.58,500 g,5.16
Jūras sāls (smalka <1mm),6.40,1 kg,6.40
Kurkuma,1.98,50 g,39.59
Kurkuma,5.15,100 g burciņā,51.50
Kurkuma,20.45,1 kg,20.44
